
> gaming-ui-demo@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.18.0.1:3000
- Environments: .env.local
✓ Ready in 1660ms

○ Compiling / ...
 GET /api/transactions?type=deposit&page=1 401 in 48ms (next.js: 16ms, application-code: 32ms)
 GET /api/transactions?type=deposit&page=1 200 in 67ms (next.js: 13ms, application-code: 54ms)
 GET /api/transactions?type=deposit&page=1 401 in 32ms (next.js: 11ms, application-code: 21ms)
 GET /api/transactions?type=deposit&page=1 200 in 68ms (next.js: 13ms, application-code: 55ms)
 GET /api/transactions?type=deposit&page=1 401 in 42ms (next.js: 15ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 58ms (next.js: 14ms, application-code: 44ms)
 GET /api/transactions?type=deposit&page=1 401 in 44ms (next.js: 14ms, application-code: 31ms)
 GET /api/transactions?type=deposit&page=1 401 in 37ms (next.js: 9ms, application-code: 28ms)
 GET /api/transactions?type=deposit&page=1 200 in 67ms (next.js: 16ms, application-code: 51ms)
 GET /api/transactions?type=deposit&page=1 401 in 49ms (next.js: 16ms, application-code: 33ms)
 GET /api/transactions?type=deposit&page=1 401 in 40ms (next.js: 13ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 56ms (next.js: 14ms, application-code: 41ms)
 GET /api/transactions?type=deposit&page=1 401 in 29ms (next.js: 11ms, application-code: 18ms)
 GET /api/transactions?type=deposit&page=1 200 in 70ms (next.js: 36ms, application-code: 34ms)
 GET /api/transactions?type=deposit&page=1 401 in 84ms (next.js: 19ms, application-code: 65ms)
 GET /api/transactions?type=deposit&page=1 200 in 106ms (next.js: 50ms, application-code: 56ms)
 GET /api/transactions?type=deposit&page=1 401 in 43ms (next.js: 14ms, application-code: 29ms)
 GET /api/transactions?type=deposit&page=1 200 in 61ms (next.js: 16ms, application-code: 46ms)
 GET /api/transactions?type=deposit&page=1 401 in 46ms (next.js: 30ms, application-code: 16ms)
 GET /api/transactions?type=deposit&page=1 200 in 57ms (next.js: 10ms, application-code: 47ms)
 GET /api/transactions?type=deposit&page=1 401 in 66ms (next.js: 39ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 200 in 87ms (next.js: 14ms, application-code: 73ms)
 GET /api/transactions?type=deposit&page=1 401 in 50ms (next.js: 17ms, application-code: 32ms)
 GET /api/transactions?type=deposit&page=1 200 in 59ms (next.js: 13ms, application-code: 46ms)
 GET /api/transactions?type=deposit&page=1 401 in 40ms (next.js: 13ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 69ms (next.js: 23ms, application-code: 46ms)
 GET /api/transactions?type=deposit&page=1 401 in 31ms (next.js: 14ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 40ms (next.js: 8ms, application-code: 33ms)
 GET /api/transactions?type=deposit&page=1 401 in 44ms (next.js: 16ms, application-code: 28ms)
 GET /api/transactions?type=deposit&page=1 200 in 66ms (next.js: 16ms, application-code: 50ms)
 GET /api/transactions?type=deposit&page=1 401 in 42ms (next.js: 17ms, application-code: 25ms)
 GET /api/transactions?type=deposit&page=1 200 in 70ms (next.js: 19ms, application-code: 51ms)
 GET /api/transactions?type=deposit&page=1 401 in 37ms (next.js: 13ms, application-code: 25ms)
 GET /api/transactions?type=deposit&page=1 200 in 66ms (next.js: 16ms, application-code: 50ms)
 GET /api/transactions?type=deposit&page=1 401 in 94ms (next.js: 28ms, application-code: 67ms)
 GET /api/transactions?type=deposit&page=1 200 in 115ms (next.js: 59ms, application-code: 56ms)
 GET /api/transactions?type=deposit&page=1 401 in 27ms (next.js: 9ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 59ms (next.js: 33ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 401 in 26ms (next.js: 9ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 51ms (next.js: 11ms, application-code: 40ms)
 GET /api/transactions?type=deposit&page=1 401 in 47ms (next.js: 8ms, application-code: 39ms)
 GET /api/transactions?type=deposit&page=1 200 in 66ms (next.js: 27ms, application-code: 38ms)
 GET /api/transactions?type=deposit&page=1 401 in 25ms (next.js: 9ms, application-code: 17ms)
 GET /api/transactions?type=deposit&page=1 200 in 51ms (next.js: 9ms, application-code: 41ms)
 GET /api/transactions?type=deposit&page=1 200 in 56ms (next.js: 11ms, application-code: 46ms)
 GET /api/transactions?type=deposit&page=1 401 in 32ms (next.js: 10ms, application-code: 21ms)
 GET /api/transactions?type=deposit&page=1 401 in 27ms (next.js: 9ms, application-code: 18ms)
 GET /api/transactions?type=deposit&page=1 200 in 53ms (next.js: 11ms, application-code: 42ms)
 GET /api/transactions?type=deposit&page=1 401 in 31ms (next.js: 10ms, application-code: 21ms)
 GET /api/transactions?type=deposit&page=1 200 in 41ms (next.js: 10ms, application-code: 30ms)
 GET /api/transactions?type=deposit&page=1 401 in 26ms (next.js: 10ms, application-code: 16ms)
 GET /api/transactions?type=deposit&page=1 200 in 56ms (next.js: 13ms, application-code: 43ms)
 GET /api/transactions?type=deposit&page=1 401 in 42ms (next.js: 15ms, application-code: 26ms)
 GET /api/transactions?type=deposit&page=1 200 in 59ms (next.js: 13ms, application-code: 47ms)
 GET /api/transactions?type=deposit&page=1 401 in 43ms (next.js: 16ms, application-code: 27ms)
 GET /api/transactions?type=deposit&page=1 200 in 54ms (next.js: 14ms, application-code: 40ms)
 GET /api/transactions?type=deposit&page=1 401 in 23ms (next.js: 8ms, application-code: 15ms)
 GET /api/transactions?type=deposit&page=1 200 in 32ms (next.js: 9ms, application-code: 23ms)
 GET /api/transactions?type=deposit&page=1 401 in 30ms (next.js: 10ms, application-code: 20ms)
 GET /api/transactions?type=deposit&page=1 200 in 47ms (next.js: 15ms, application-code: 32ms)
 GET /api/transactions?type=deposit&page=1 401 in 61ms (next.js: 27ms, application-code: 34ms)
 GET /api/transactions?type=deposit&page=1 200 in 114ms (next.js: 15ms, application-code: 99ms)
